UID,Name,Position,Age,Club,Wage,Division,Minutes Played,Season,Total Number Of Seasons Stored,Average Rating,SABR Rating,Adjusted Rating,Adjusted SABR Rating,Rating Difference,Aerial Challenges Attempted per 90,Assists per 90,Blocks per 90,Chances Created per 90,Clearances per 90,Cross Completion %,Dribbles per 90,Expected Assists per 90,Expected Goals per 90,Goals per 90,Headers Won %,Interceptions per 90,Key Headers per 90,Key Passes per 90,Key Tackles per 90,Non-Penalty xG per 90,Open-Play Cross Completion %,Open-Play Key Passes per 90,Possession Lost per 90,Possession Won per 90,Pressures Attempted per 90,Pressures Completed per 90,Progressive Passes per 90,Shots Blocked per 90,Shots Outside Box per 90,Shots on Target per 90,Shots per 90,Tackles Won per 90
r-2002154018,Francisco Guerrero,Centre Back,32,Minnesota,"£324,000 p/a",Major League Soccer,2200,2045,2,6.55,3.63,6.6,3.82,-2.78,7.69,0.04,0.74,0.05,2.17,14.0,0.08,0.01,0.05,0.0,63.0,1.39,1.15,0.08,0.29,0.05,14.0,0.08,7.53,10.1,2.78,0.7,3.48,0.45,0.2,0.45,0.86,1.31
r-2002154018,Francisco Guerrero,Centre Back,33,Minnesota,"£324,000 p/a",Major League Soccer,2160,2046,2,6.65,4.0,6.6,3.82,-2.78,6.54,0.0,0.5,0.04,1.12,33.0,0.04,0.02,0.03,0.04,68.0,1.12,0.5,0.17,0.33,0.03,33.0,0.17,7.12,9.04,2.79,0.92,3.5,0.38,0.04,0.21,0.54,1.08
r-2002169005,Slaviša Božanić,Centre Back,31,Orlando City,"£2,893,000 p/a",Major League Soccer,2881,2045,2,6.83,3.63,6.75,4.29,-2.46,4.03,0.0,0.78,0.32,0.84,0.0,0.19,0.02,0.04,0.06,48.0,2.75,0.34,0.22,0.31,0.04,0.0,0.22,4.31,10.81,5.44,1.62,3.84,0.5,0.09,0.19,0.34,1.75
r-2002169005,Slaviša Božanić,Centre Back,32,Orlando City,"£2,893,000 p/a",Major League Soccer,3226,2046,2,6.67,4.95,6.75,4.29,-2.46,4.07,0.06,0.67,0.16,1.03,22.0,0.33,0.07,0.01,0.0,51.0,2.06,0.22,0.59,0.2,0.01,22.0,0.59,4.88,10.24,6.67,1.98,3.6,0.47,0.2,0.11,0.33,1.31
r-2002338107,Scott Kolarcik,Centre Back,25,Minnesota,"£193,000 p/a",Major League Soccer,2618,2045,2,6.8,3.62,6.85,4.77,-2.08,5.33,0.07,0.58,0.0,2.37,0.0,0.07,0.03,0.03,0.03,58.0,1.2,0.41,0.45,0.38,0.03,0.0,0.41,7.18,9.66,2.65,1.0,2.75,0.38,0.21,0.21,0.48,1.58
r-2002338107,Scott Kolarcik,Centre Back,26,Atlanta United,"£193,000 p/a",Major League Soccer,3220,2046,2,6.9,5.91,6.85,4.77,-2.08,5.9,0.0,0.64,0.03,1.9,33.0,0.03,0.02,0.03,0.0,62.0,1.73,0.56,0.22,0.42,0.03,33.0,0.22,6.79,11.18,3.1,0.89,4.25,0.5,0.08,0.14,0.36,1.51
r-2002339814,Juan Monserrat,Centre Back,30,Houston,"£323,000 p/a",Major League Soccer,3029,2045,1,6.81,3.61,6.81,3.61,-3.2,7.43,0.12,0.42,0.15,0.95,0.0,0.3,0.04,0.17,0.24,46.0,1.28,0.27,0.27,0.09,0.14,0.0,0.27,5.76,8.62,3.42,1.04,2.53,0.18,0.24,0.53,1.01,1.13
r-2002338111,Andres Mauricio Rodas,Centre Back,26,Charlotte FC,"£232,000 p/a",Major League Soccer,1791,2045,2,6.78,3.45,6.82,2.4,-4.42,6.38,0.05,0.4,0.0,2.11,0.0,0.3,0.03,0.01,0.0,82.0,1.81,1.11,0.3,0.1,0.01,0.0,0.3,8.34,12.61,6.08,2.26,5.93,0.15,0.1,0.15,0.25,2.51
r-2002338111,Andres Mauricio Rodas,Centre Back,27,Vancouver,"£165,000 p/a",Major League Soccer,629,2046,2,6.85,1.35,6.82,2.4,-4.42,7.3,0.14,0.43,2.25,3.0,0.0,0.72,0.2,0.04,0.0,84.0,3.29,1.29,0.29,0.14,0.04,0.0,0.29,10.73,14.88,7.87,1.86,4.15,0.43,0.29,0.14,0.72,3.72
r-2002340514,James Sierakowski,Centre Back,26,Real Salt Lake,"£101,000 p/a",Major League Soccer,1752,2045,2,6.83,3.45,6.85,1.78,-5.07,6.16,0.05,0.72,0.1,1.39,7.0,0.46,0.08,0.09,0.1,79.0,1.64,0.98,0.26,0.15,0.05,14.0,0.26,7.65,13.41,5.19,1.54,5.39,0.21,0.1,0.1,0.62,2.31
r-2002340514,James Sierakowski,Centre Back,27,Real Salt Lake,"£101,000 p/a",Major League Soccer,67,2046,2,6.87,0.1,6.85,1.78,-5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r-2002340451,Davide Formisano,Centre Back,35,New England,"£231,000 p/a",Major League Soccer,2940,2045,2,6.81,3.25,6.7,1.76,-4.94,3.49,0.0,0.64,0.03,1.5,0.0,0.06,0.01,0.0,0.0,48.0,1.62,0.12,0.03,0.28,0.0,0.0,0.03,4.19,7.81,2.72,1.01,3.0,0.58,0.06,0.0,0.06,0.83
r-2002340451,Davide Formisano,Centre Back,36,New England,"£101,000 p/a",Major League Soccer,348,2046,2,6.58,0.27,6.7,1.76,-4.94,3.62,0.0,0.52,0.0,0.52,0.0,0.0,0.01,0.0,0.0,29.0,0.52,0.0,0.26,0.78,0.0,0.0,0.26,3.1,4.91,2.33,0.52,5.17,0.52,0.0,0.0,0.0,2.07
r-2002340773,W. Davith Wickeramatunga,Centre Back,26,Nashville,"£101,000 p/a",Major League Soccer,1633,2045,2,6.78,3.11,6.82,3.8,-3.02,7.83,0.06,0.28,0.12,1.82,0.0,0.06,0.04,0.04,0.0,80.0,1.71,1.43,0.39,0.28,0.04,0.0,0.39,9.15,13.5,3.69,0.88,4.91,0.17,0.06,0.22,0.72,1.98
r-2002340773,W. Davith Wickeramatunga,Centre Back,27,Nashville,"£101,000 p/a",Major League Soccer,2235,2046,2,6.87,4.48,6.82,3.8,-3.02,6.0,0.04,0.44,0.29,1.65,0.0,0.04,0.06,0.13,0.12,86.0,1.41,0.93,0.2,0.48,0.04,0.0,0.2,9.18,14.34,3.99,1.49,4.35,0.24,0.0,0.24,0.44,2.01
r-2002340554,Joab Huescas,Centre Back,25,Portland,"£103,000 p/a",Major League Soccer,1557,2045,2,6.75,3.08,6.8,2.12,-4.68,6.47,0.0,0.4,0.0,1.5,50.0,0.12,0.03,0.02,0.0,63.0,2.2,0.46,0.17,0.29,0.02,50.0,0.17,5.49,11.21,4.28,1.39,4.28,0.35,0.06,0.06,0.29,1.33
r-2002340554,Joab Huescas,Centre Back,26,Portland,"£103,000 p/a",Major League Soccer,475,2046,2,6.86,1.15,6.8,2.12,-4.68,6.44,0.19,1.14,0.36,1.33,100.0,0.0,0.07,0.01,0.0,56.0,1.71,0.19,0.95,0.19,0.01,100.0,0.95,7.58,11.37,3.98,2.08,4.17,0.57,0.19,0.0,0.19,1.71
r-2002339032,Fernando Mendez,Centre Back,23,Chicago,"£101,000 p/a",Major League Soccer,2069,2045,2,6.78,3.02,6.81,2.37,-4.44,5.18,0.04,0.74,0.11,2.22,0.0,0.0,0.06,0.02,0.0,68.0,1.3,0.83,0.13,0.35,0.02,0.0,0.13,5.22,8.26,2.78,0.87,3.18,0.48,0.17,0.09,0.3,1.13
r-2002339032,Fernando Mendez,Centre Back,24,Chicago,"£118,000 p/a",Major League Soccer,863,2046,2,6.84,1.71,6.81,2.37,-4.44,4.59,0.0,0.63,0.0,1.77,33.0,0.1,0.0,0.01,0.0,64.0,1.98,0.42,0.0,0.21,0.01,50.0,0.0,6.36,10.22,4.69,1.98,7.82,0.63,0.1,0.1,0.31,1.46
r-2002308824,Ezequiel Protti,Centre Back,22,Philadelphia,"£142,000 p/a",Major League Soccer,1953,2045,2,6.88,2.98,6.85,2.4,-4.45,7.05,0.0,0.78,0.06,2.63,0.0,0.05,0.03,0.01,0.05,58.0,1.66,0.51,0.18,0.55,0.01,0.0,0.18,8.02,12.44,3.92,1.38,3.92,0.51,0.09,0.09,0.28,1.52
r-2002308824,Ezequiel Protti,Centre Back,23,Philadelphia,"£142,000 p/a",Major League Soccer,1165,2046,2,6.82,1.82,6.85,2.4,-4.45,6.03,0.0,0.77,0.0,2.86,0.0,0.08,0.01,0.03,0.0,63.0,1.55,0.54,0.15,0.08,0.03,0.0,0.15,7.8,11.2,2.7,1.0,4.71,0.46,0.08,0.23,0.46,1.24
r-2002128300,Julián Valenzuela,Centre Back,34,LA Galaxy,"£192,000 p/a",Major League Soccer,1815,2045,2,6.68,2.9,6.74,1.56,-5.18,8.23,0.0,0.3,0.0,2.08,0.0,0.0,0.01,0.06,0.05,70.0,0.99,0.5,0.2,0.4,0.06,0.0,0.2,5.26,9.77,4.46,1.29,4.02,0.25,0.1,0.2,0.84,1.19
r-2002128300,Julián Valenzuela,Centre Back,35,LA Galaxy,"£192,000 p/a",Major League Soccer,116,2046,2,6.8,0.23,6.74,1.56,-5.18,9.31,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.26,0.0,75.0,5.43,1.55,0.0,0.78,0.26,0.0,0.0,8.53,12.41,6.21,2.33,5.43,1.55,0.0,0.0,0.78,3.1
r-2002316727,Omar Centeno,Centre Back,32,Cincinnati,"£240,000 p/a",Major League Soccer,1617,2045,2,6.73,2.89,6.76,5.76,-1.0,4.79,0.0,0.22,0.07,1.5,14.0,0.22,0.03,0.06,0.06,77.0,1.95,0.78,0.17,0.17,0.01,14.0,0.17,6.01,9.8,4.68,1.17,3.9,0.0,0.06,0.28,0.39,1.11
r-2002316727,Omar Centeno,Full Back,33,Cincinnati,"£168,000 p/a",Major League Soccer,3254,2046,2,6.79,8.64,6.76,5.76,-1.0,5.26,0.08,0.83,0.27,1.47,11.0,0.36,0.07,0.06,0.11,69.0,1.49,0.55,0.36,0.11,0.06,16.0,0.36,7.91,11.67,5.97,1.63,4.7,0.22,0.19,0.14,0.64,2.24
r-2002339721,Emanuel Fernández,Centre Back,26,Chicago,"£295,000 p/a",Major League Soccer,1795,2045,2,6.82,2.8,6.86,3.92,-2.94,6.82,0.0,0.8,0.0,2.11,0.0,0.1,0.01,0.06,0.05,69.0,1.55,1.15,0.1,0.35,0.06,0.0,0.1,5.16,10.38,2.66,1.2,3.31,0.55,0.05,0.15,0.3,1.3
r-2002339721,Emanuel Fernández,Centre Back,27,Chicago,"£295,000 p/a",Major League Soccer,3112,2046,2,6.9,5.04,6.86,3.92,-2.94,6.48,0.0,0.52,0.31,1.45,0.0,0.03,0.04,0.08,0.12,70.0,1.76,0.72,0.2,0.29,0.08,0.0,0.2,5.61,10.64,3.09,1.27,4.51,0.46,0.03,0.4,0.67,0.98
r-2002338952,Francisco Escalante,Centre Back,25,Cincinnati,"£78,000 p/a",Major League Soccer,1346,2045,2,6.67,2.76,6.62,1.88,-4.74,7.56,0.07,0.47,0.3,2.74,15.0,0.2,0.09,0.1,0.0,78.0,1.6,1.07,0.47,0.27,0.1,18.0,0.47,10.03,10.63,8.83,2.67,3.68,0.0,0.0,0.4,0.8,3.28
r-2002338952,Francisco Escalante,Centre Back,26,Cincinnati,"£101,000 p/a",Major League Soccer,514,2046,2,6.57,1.01,6.62,1.88,-4.74,7.7,0.0,0.53,0.0,2.45,14.0,0.0,0.05,0.03,0.0,73.0,1.23,1.05,0.53,0.35,0.03,20.0,0.53,9.98,10.86,5.6,1.4,3.33,0.35,0.0,0.0,0.35,2.63
r-2002357064,Tom Dickin-Walker,Centre Back,20,Vancouver,"£101,000 p/a",Major League Soccer,1571,2045,2,6.83,2.72,6.8,1.66,-5.14,7.73,0.06,0.23,0.16,1.66,0.0,0.17,0.05,0.04,0.06,74.0,1.78,1.26,0.29,0.17,0.04,0.0,0.23,6.65,12.55,3.44,1.32,3.44,0.17,0.17,0.29,0.86,1.26
r-2002357064,Tom Dickin-Walker,Centre Back,21,Vancouver,"£101,000 p/a",Major League Soccer,368,2046,2,6.78,0.6,6.8,1.66,-5.14,6.85,0.0,0.73,0.0,2.2,0.0,0.0,0.0,0.01,0.0,71.0,1.47,0.73,0.24,0.0,0.01,0.0,0.24,5.62,10.03,2.45,1.22,6.11,0.73,0.0,0.24,0.24,0.49
r-2002183198,Altin Ademi,Centre Back,30,Toronto FC,"£2,952,000 p/a",Major League Soccer,1452,2045,2,7.12,2.53,7.02,5.7,-1.32,6.07,0.06,0.25,0.92,1.05,11.0,0.37,0.12,0.1,0.19,62.0,1.43,0.87,0.81,0.19,0.1,20.0,0.81,6.76,10.97,8.31,2.48,4.4,0.12,0.74,0.43,1.36,2.05
r-2002183198,Altin Ademi,Centre Back,31,Toronto FC,"£2,952,000 p/a",Major League Soccer,3528,2046,2,6.92,8.88,7.02,5.7,-1.32,8.67,0.1,0.59,0.32,1.22,54.0,0.18,0.08,0.07,0.03,70.0,1.63,0.99,0.59,0.1,0.07,96.0,0.59,6.28,12.83,4.46,1.43,5.92,0.48,0.08,0.18,0.59,1.17
r-2002338312,José Luis Falcón,Centre Back,23,Portland,"£149,000 p/a",Major League Soccer,1203,2045,2,6.67,2.2,6.72,3.98,-2.74,6.13,0.0,0.67,0.08,2.47,10.0,0.37,0.01,0.02,0.0,70.0,1.42,0.97,0.3,0.0,0.02,10.0,0.3,8.0,11.67,6.81,2.47,5.76,0.15,0.0,0.22,0.45,2.77
r-2002338312,José Luis Falcón,Centre Back,24,Portland,"£149,000 p/a",Major League Soccer,3203,2046,2,6.78,5.75,6.72,3.98,-2.74,5.87,0.03,0.56,0.0,1.24,5.0,0.17,0.01,0.04,0.0,76.0,1.35,0.42,0.22,0.17,0.04,6.0,0.22,6.6,11.32,4.36,1.49,5.11,0.31,0.11,0.17,0.56,1.66
r-2002338973,Jim Chung,Centre Back,23,Austin FC,"£101,000 p/a",Major League Soccer,1276,2045,1,6.8,2.18,6.8,2.18,-4.62,6.0,0.07,0.99,0.12,1.41,0.0,0.0,0.03,0.02,0.0,75.0,0.92,0.78,0.14,0.28,0.02,0.0,0.14,5.43,10.93,4.94,1.83,6.7,0.92,0.14,0.14,0.21,1.48
r-2002338093,Leonardo Angulo,Centre Back,26,Columbus,"£101,000 p/a",Major League Soccer,755,2045,2,6.85,2.15,6.86,1.73,-5.13,7.87,0.0,0.72,0.0,2.26,100.0,0.24,0.02,0.11,0.24,77.0,1.31,1.07,0.36,0.48,0.11,100.0,0.36,6.68,14.78,6.79,2.03,5.48,0.24,0.24,0.6,1.67,2.86
r-2002338093,Leonardo Angulo,Centre Back,27,Columbus,"£101,000 p/a",Major League Soccer,636,2046,2,6.88,1.31,6.86,1.73,-5.13,8.35,0.0,0.99,0.0,1.7,0.0,0.0,0.01,0.06,0.0,92.0,1.56,1.7,0.42,0.14,0.06,0.0,0.42,6.37,12.59,2.69,0.28,6.51,0.57,0.0,0.57,0.85,1.7
r-2002339025,Mark Massey,Centre Back,23,NYCFC,"£78,000 p/a",Major League Soccer,1243,2045,2,6.92,1.82,6.85,2.35,-4.5,4.85,0.0,0.58,0.16,2.1,0.0,0.07,0.1,0.0,0.0,64.0,1.01,1.23,0.29,0.29,0.0,0.0,0.29,8.91,8.25,2.46,0.58,4.13,0.43,0.07,0.0,0.07,1.09
r-2002339025,Mark Massey,Centre Back,24,NYCFC,"£78,000 p/a",Major League Soccer,1711,2046,2,6.78,2.87,6.85,2.35,-4.5,6.68,0.0,0.47,0.0,1.26,0.0,0.05,0.0,0.03,0.05,72.0,1.26,1.21,0.11,0.26,0.03,0.0,0.11,9.15,10.52,1.89,0.63,3.89,0.32,0.05,0.16,0.26,1.37
r-2002340872,Mohamed Moumni,Centre Back,26,San Jose,"£118,000 p/a",Major League Soccer,900,2045,1,6.73,1.78,6.73,1.78,-4.95,4.3,0.0,0.8,0.23,1.2,25.0,0.1,0.03,0.01,0.0,72.0,1.6,0.3,0.8,0.2,0.01,50.0,0.7,7.3,8.9,6.1,1.7,3.1,0.3,0.0,0.1,0.2,2.0
r-2002271213,Cristian Stoica,Centre Back,25,Houston,"£108,000 p/a",Major League Soccer,990,2045,2,6.68,1.73,6.76,1.44,-5.32,6.73,0.0,0.36,0.39,1.73,11.0,0.27,0.03,0.03,0.0,65.0,1.64,0.91,0.36,0.27,0.03,17.0,0.27,10.0,10.36,4.45,1.73,3.64,0.09,0.09,0.09,0.36,1.91
r-2002271213,Cristian Stoica,Centre Back,26,Houston,"£101,000 p/a",Major League Soccer,711,2046,2,6.83,1.15,6.76,1.44,-5.32,7.22,0.0,1.01,0.0,1.01,25.0,0.51,0.0,0.02,0.13,49.0,1.9,0.63,0.25,0.13,0.02,25.0,0.25,6.84,10.13,6.08,1.65,4.56,0.25,0.0,0.13,0.13,1.77
r-2002339738,Andre Davis,Centre Back,31,Orlando City,"£329,000 p/a",Major League Soccer,954,2045,2,6.81,1.67,6.72,2.77,-3.95,5.28,0.0,0.94,0.0,1.89,0.0,0.0,0.0,0.03,0.09,80.0,1.51,0.38,0.09,0.0,0.03,0.0,0.09,5.0,12.36,3.21,0.75,5.94,0.66,0.0,0.19,0.47,1.32
r-2002339738,Andre Davis,Centre Back,32,Orlando City,"£329,000 p/a",Major League Soccer,2343,2046,2,6.64,3.87,6.72,2.77,-3.95,8.3,0.0,0.54,0.04,2.15,0.0,0.0,0.01,0.23,0.27,68.0,1.38,1.23,0.04,0.31,0.02,0.0,0.04,8.22,10.64,3.07,1.0,3.11,0.5,0.12,0.31,0.61,1.15
r-2002339822,Joseph Burrows,Centre Back,34,New York,"£190,000 p/a",Major League Soccer,836,2045,1,7.01,1.61,7.01,1.61,-5.4,9.26,0.0,0.32,0.0,1.51,0.0,0.0,0.01,0.21,0.22,83.0,2.26,1.51,0.22,0.54,0.21,0.0,0.22,7.11,14.0,1.61,0.43,3.98,0.22,0.11,0.97,2.05,1.08
r-2002340911,CJ Bender,Centre Back,21,Philadelphia,"£78,000 p/a",Major League Soccer,1130,2045,1,6.56,1.59,6.56,1.59,-4.97,5.81,0.0,0.16,0.0,1.67,0.0,0.0,0.0,0.02,0.0,62.0,1.27,0.32,0.08,0.24,0.02,0.0,0.08,4.94,9.88,3.11,1.67,3.11,0.16,0.08,0.24,0.48,1.19
r-2002289671,Corey Medley,Centre Back,24,Cincinnati,"£78,000 p/a",Major League Soccer,963,2045,2,6.8,1.54,6.81,1.61,-5.2,4.3,0.0,0.37,0.0,1.68,0.0,0.0,0.0,0.07,0.09,74.0,1.59,0.84,0.09,0.19,0.07,0.0,0.09,6.54,9.53,4.02,1.21,3.36,0.28,0.0,0.09,0.37,1.4
r-2002289671,Corey Medley,Centre Back,25,Cincinnati,"£78,000 p/a",Major League Soccer,1020,2046,2,6.82,1.68,6.81,1.61,-5.2,3.97,0.09,0.26,1.07,2.21,0.0,0.35,0.11,0.02,0.0,69.0,1.41,0.26,0.97,0.26,0.02,0.0,0.97,8.74,10.24,5.74,1.68,3.53,0.18,0.09,0.26,0.26,2.56
r-2002339393,Jimmy Oberle,Centre Back,25,Real Salt Lake,"£78,000 p/a",Major League Soccer,838,2045,2,6.77,1.51,6.48,0.78,-5.7,7.2,0.0,0.86,0.0,2.04,0.0,0.11,0.01,0.01,0.0,76.0,1.72,1.07,0.43,0.64,0.01,0.0,0.43,7.63,13.1,4.3,1.5,2.9,0.75,0.0,0.11,0.21,1.93
r-2002339393,Jimmy Oberle,Centre Back,26,Real Salt Lake,"£101,000 p/a",Major League Soccer,45,2046,2,6.2,0.04,6.48,0.78,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r-2002339394,James Lewis,Centre Back,24,Toronto FC,"£78,000 p/a",Major League Soccer,773,2045,2,6.84,1.38,6.68,0.73,-5.95,7.68,0.12,1.05,0.13,2.45,0.0,0.0,0.05,0.09,0.12,76.0,1.98,0.7,0.35,0.12,0.09,0.0,0.35,7.45,13.04,3.73,0.7,3.61,0.93,0.23,0.35,1.16,0.58
r-2002339394,James Lewis,Centre Back,25,Toronto FC,"£101,000 p/a",Major League Soccer,55,2046,2,6.53,0.08,6.68,0.73,-5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r-2002340512,Carlos Lamb,Centre Back,24,Atlanta United,"£101,000 p/a",Major League Soccer,683,2045,2,6.59,1.13,6.65,0.9,-5.75,7.12,0.0,0.4,0.0,2.24,0.0,0.0,0.0,0.03,0.0,69.0,1.45,1.05,0.0,0.79,0.03,0.0,0.0,7.64,11.46,3.56,1.32,3.69,0.53,0.4,0.13,0.66,1.71
r-2002340512,Carlos Lamb,Centre Back,25,Atlanta United,"£101,000 p/a",Major League Soccer,357,2046,2,6.72,0.68,6.65,0.9,-5.75,6.3,0.5,1.26,0.0,2.52,10.0,0.25,0.09,0.01,0.0,56.0,0.76,0.5,0.5,0.25,0.01,33.0,0.5,10.34,15.13,6.55,3.28,5.55,0.25,0.5,0.0,0.5,2.27
r-2002154128,Guillermo Flores,Centre Back,32,Minnesota,"£311,000 p/a",Major League Soccer,428,2045,1,6.48,1.05,6.48,1.05,-5.43,6.94,0.0,0.63,0.0,1.26,100.0,0.0,0.02,0.01,0.0,67.0,0.84,0.63,0.21,0.63,0.01,100.0,0.21,7.99,9.04,3.57,1.26,2.94,0.21,0.0,0.0,0.21,1.47
r-2002340733,Ben Ryan,Centre Back,24,Nashville,"£101,000 p/a",Major League Soccer,486,2045,2,6.45,0.98,6.6,0.97,-5.63,3.52,0.19,0.56,0.19,0.74,100.0,0.37,0.02,0.0,0.0,47.0,1.11,0.37,0.56,0.19,0.0,100.0,0.56,4.81,4.81,6.11,1.48,4.26,0.37,0.0,0.0,0.0,0.93
r-2002340733,Ben Ryan,Centre Back,25,Nashville,"£78,000 p/a",Major League Soccer,716,2046,2,6.75,0.96,6.6,0.97,-5.63,6.41,0.0,0.63,0.19,1.38,0.0,0.0,0.06,0.09,0.13,53.0,1.51,0.25,0.38,0.13,0.09,0.0,0.38,5.66,9.68,2.77,1.13,4.4,0.63,0.5,0.38,1.01,0.88
r-2002271114,Maiquel Sganzerla,Centre Back,25,Chicago,"£234,000 p/a",Major League Soccer,307,2045,2,6.72,0.65,6.78,2.65,-4.13,5.57,0.29,0.88,0.0,1.17,33.0,0.29,0.04,0.02,0.0,68.0,2.93,0.29,0.59,0.0,0.02,33.0,0.29,12.02,14.95,8.21,3.22,2.05,0.0,0.29,0.29,0.29,1.17
r-2002271114,Maiquel Sganzerla,Centre Back,26,Minnesota,"£234,000 p/a",Major League Soccer,2524,2046,2,6.84,4.65,6.78,2.65,-4.13,6.42,0.07,0.64,1.12,2.1,12.0,0.14,0.06,0.02,0.04,72.0,2.28,0.61,0.46,0.18,0.02,13.0,0.36,7.2,12.44,3.53,1.18,3.57,0.46,0.25,0.21,0.46,1.39
r-2002339156,David Shields,Centre Back,24,Columbus,"£101,000 p/a",Major League Soccer,536,2045,2,6.68,0.64,6.62,0.46,-6.16,6.04,0.0,1.01,0.0,1.01,0.0,0.0,0.0,0.01,0.0,42.0,0.5,0.34,0.0,0.34,0.01,0.0,0.0,9.4,7.89,4.03,1.85,5.54,0.5,0.0,0.0,0.17,1.85
r-2002339156,David Shields,Centre Back,25,Columbus,"£101,000 p/a",Major League Soccer,256,2046,2,6.57,0.28,6.62,0.46,-6.16,5.63,0.0,0.35,0.0,1.41,0.0,0.0,0.03,0.0,0.0,38.0,0.0,0.35,0.35,0.35,0.0,0.0,0.35,8.09,7.73,1.76,0.7,6.68,0.0,0.0,0.0,0.0,0.7
r-2002199255,Towa Tanaka,Centre Back,28,Colorado,"£431,000 p/a",Major League Soccer,368,2045,2,7.11,0.63,6.98,4.47,-2.51,4.16,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.13,0.24,82.0,2.2,0.49,0.0,0.24,0.13,0.0,0.0,4.65,11.98,2.2,0.24,2.93,0.0,0.0,0.24,0.49,1.47
r-2002199255,Towa Tanaka,Centre Back,29,New York,"£431,000 p/a",Major League Soccer,3334,2046,2,6.84,8.3,6.98,4.47,-2.51,8.13,0.03,0.4,0.04,1.54,33.0,0.0,0.02,0.06,0.03,74.0,1.86,1.24,0.16,0.3,0.06,100.0,0.16,6.13,13.74,3.05,0.84,3.78,0.43,0.03,0.24,0.65,1.3
r-2002167912,David Mackalister Ariza,Centre Back,31,St. Louis CITY,"£244,000 p/a",Major League Soccer,286,2045,2,6.58,0.56,6.7,3.3,-3.4,9.13,0.0,0.94,0.0,1.89,0.0,0.0,0.0,0.01,0.0,86.0,0.94,0.63,0.0,0.31,0.01,0.0,0.0,7.55,15.42,2.2,0.63,3.15,0.31,0.0,0.0,0.31,0.63
r-2002167912,David Mackalister Ariza,Centre Back,32,FC Dallas,"£244,000 p/a",Major League Soccer,3584,2046,2,6.82,6.05,6.7,3.3,-3.4,6.45,0.03,0.68,0.0,2.39,0.0,0.05,0.0,0.02,0.03,73.0,1.56,1.1,0.05,0.25,0.02,0.0,0.05,5.78,11.9,2.84,1.0,4.24,0.45,0.03,0.03,0.25,1.08
r-2002335622,Alonso Rodríguez,Centre Back,20,FC Dallas,"£78,000 p/a",Major League Soccer,148,2045,1,6.8,0.4,6.8,0.4,-6.4,7.91,0.0,0.61,0.0,3.65,100.0,0.61,0.0,0.15,0.61,69.0,0.0,1.82,0.61,0.0,0.15,100.0,0.61,8.51,11.55,7.3,0.61,3.65,0.61,0.61,1.22,1.82,1.82
r-2002271956,Christian Bryant,Centre Back,23,LAFC,"£297,000 p/a",Major League Soccer,172,2045,2,6.7,0.27,6.7,1.59,-5.11,6.28,0.0,1.05,0.0,3.66,0.0,0.0,0.0,0.0,0.0,67.0,1.57,1.05,0.0,0.0,0.0,0.0,0.0,7.33,7.85,5.23,2.62,5.23,1.05,0.0,0.0,0.0,2.09
r-2002271956,Christian Bryant,Centre Back,24,LAFC,"£264,000 p/a",Major League Soccer,1982,2046,2,6.71,2.91,6.7,1.59,-5.11,6.22,0.0,0.36,0.0,1.09,0.0,0.05,0.01,0.05,0.05,61.0,1.77,0.5,0.14,0.23,0.05,0.0,0.14,6.58,10.17,2.09,0.77,5.09,0.32,0.09,0.05,0.36,0.95
r-2002335626,Kevin Huntley,Centre Back,21,St. Louis CITY,"£78,000 p/a",Major League Soccer,117,2045,1,7.2,0.25,7.2,0.25,-6.95,6.92,0.0,0.77,0.0,0.77,0.0,0.0,0.0,0.0,0.0,89.0,1.54,0.0,0.77,1.54,0.0,0.0,0.77,8.46,17.69,6.92,2.31,1.54,0.0,0.0,0.0,0.0,2.31
r-2002339413,Brendan Clark,Centre Back,25,New York,"£78,000 p/a",Major League Soccer,144,2045,2,7.27,0.24,6.96,0.21,-6.75,7.5,0.62,1.25,0.0,1.88,0.0,0.0,0.04,0.0,0.0,75.0,0.62,0.0,1.25,1.25,0.0,0.0,1.25,2.5,11.25,4.38,2.5,4.38,0.0,0.0,0.0,0.0,3.12
r-2002339413,Brendan Clark,Centre Back,26,New York,"£101,000 p/a",Major League Soccer,165,2046,2,6.66,0.18,6.96,0.21,-6.75,9.82,0.0,1.09,0.0,1.64,0.0,0.0,0.02,0.01,0.0,33.0,2.18,0.0,0.55,0.0,0.01,0.0,0.55,6.55,10.91,2.73,0.55,2.73,1.09,0.0,0.0,0.55,0.0
